Key,Proyecto,Species,Sum of NUM_IND,Sum of ABUND_REL,Sum of ABUND_ABS
337,EIA PPII - PLATERO sobre YNC,Cyphomyrmex costatus,199,0.018213436,199
338,EIA PPII - PLATERO sobre YNC,Cyphomyrmex rimosus,213,0.020049925,213
339,EIA PPII - PLATERO sobre YNC,Dasyprocta punctata,227,18.35084883,227
340,EIA PPII - PLATERO sobre YNC,Dasypus novemcinctus,25,2.021018593,25
341,EIA PPII - PLATERO sobre YNC,Deltochilum guildingii,9,0.032644714,9
342,EIA PPII - PLATERO sobre YNC,Dendroplex picus,2,0.054899808,2
343,EIA PPII - PLATERO sobre YNC,Denisiella sp.,296,0.087397108,296
344,EIA PPII - PLATERO sobre YNC,Dermanura anderseni,4,0.323362975,4
345,EIA PPII - PLATERO sobre YNC,Dichotomius agenor,2,0.006006006,2
346,EIA PPII - PLATERO sobre YNC,Dichotomius coenosus,1,0.003003003,1
347,EIA PPII - PLATERO sobre YNC,Didelphis marsupialis,30,2.425222312,30
348,EIA PPII - PLATERO sobre YNC,Discothyrea sp.1,1,9.15248E-05,1
349,EIA PPII - PLATERO sobre YNC,Discothyrea sp.2,1,9.15248E-05,1
350,EIA PPII - PLATERO sobre YNC,Dolichoderus bispinosus,147,0.014030237,147
351,EIA PPII - PLATERO sobre YNC,Dolichoderus sp.1,9,0.000823723,9
352,EIA PPII - PLATERO sobre YNC,Dolichoderus sp.2,26,0.002421542,26
353,EIA PPII - PLATERO sobre YNC,Dolichoderus sp.3,64,0.005868062,64
354,EIA PPII - PLATERO sobre YNC,Dolichoderus sp.4,23,0.002345981,23
355,EIA PPII - PLATERO sobre YNC,Dorymyrmex sp.1,325,0.032227989,325
356,EIA PPII - PLATERO sobre YNC,Dryadula phaetusa,2,0.009756098,2
357,EIA PPII - PLATERO sobre YNC,Eciton sp.1,243,0.022450015,243
358,EIA PPII - PLATERO sobre YNC,Ectatomma ruidum,1862,0.17801311,1862
359,EIA PPII - PLATERO sobre YNC,Ectatomma tuberculatum,31,0.003130552,31
360,EIA PPII - PLATERO sobre YNC,Eira barbara ,64,5.173807599,64
361,EIA PPII - PLATERO sobre YNC,Elaenia chiriquensis,1,0.027449904,1
362,EIA PPII - PLATERO sobre YNC,Entomobrya sp.,127,0.043440306,127
363,EIA PPII - PLATERO sobre YNC,Entomobryidae sp.1,2,0.000558659,2
364,EIA PPII - PLATERO sobre YNC,Entomobryidae sp.2,242,0.071930968,242
365,EIA PPII - PLATERO sobre YNC,Eresia eunice,1,0.003984064,1
366,EIA PPII - PLATERO sobre YNC,Euptychia hesione,1,0.004878049,1
367,EIA PPII - PLATERO sobre YNC,Eurysternus caribaeus,18,0.054054054,18
368,EIA PPII - PLATERO sobre YNC,Eurysternus sp.1,1,0.00862069,1
369,EIA PPII - PLATERO sobre YNC,Galictis vittata ,1,0.080840744,1
370,EIA PPII - PLATERO sobre YNC,Geothlypis philadelphia,2,0.054899808,2
371,EIA PPII - PLATERO sobre YNC,Glaucis hirsutus,8,0.219599231,8
372,EIA PPII - PLATERO sobre YNC,Glossophaga soricina,7,0.565885206,7
373,EIA PPII - PLATERO sobre YNC,Gnamptogenys sp.1,1,9.15248E-05,1
374,EIA PPII - PLATERO sobre YNC,Hamadryas amphinome,8,0.032766495,8
375,EIA PPII - PLATERO sobre YNC,Hamadryas feronia,20,0.083257215,20
